Date,Open,High,Low,Close,Adj Close,Volume
2015-07-09,1.540000,1.550000,1.540000,1.540000,1.355780,3111800
2015-07-10,1.550000,1.550000,1.540000,1.550000,1.364583,9033600
2015-07-13,1.540000,1.560000,1.540000,1.540000,1.355780,9718000
2015-07-14,1.550000,1.560000,1.540000,1.560000,1.373387,7846000
2015-07-15,1.550000,1.560000,1.540000,1.560000,1.373387,2906800
2015-07-16,1.550000,1.550000,1.540000,1.550000,1.364583,222000
2015-07-20,1.550000,1.560000,1.540000,1.550000,1.364583,5666500
2015-07-21,1.550000,1.580000,1.550000,1.580000,1.390995,236800
2015-07-22,1.560000,1.580000,1.560000,1.560000,1.373387,5306600
2015-07-23,1.560000,1.590000,1.560000,1.590000,1.399798,6841400
2015-07-24,1.570000,1.580000,1.560000,1.560000,1.373387,2148900
2015-07-27,1.580000,1.580000,1.560000,1.570000,1.382191,5769300
2015-07-28,1.560000,1.570000,1.540000,1.540000,1.355780,5256900
2015-07-29,1.550000,1.560000,1.540000,1.550000,1.364583,3924700
2015-07-30,1.550000,1.560000,1.540000,1.550000,1.364583,1635000
2015-07-31,1.550000,1.560000,1.550000,1.560000,1.373387,1783500
2015-08-03,1.560000,1.560000,1.550000,1.560000,1.373387,1507700
2015-08-04,1.560000,1.560000,1.540000,1.550000,1.364583,3637700
2015-08-05,1.550000,1.560000,1.540000,1.550000,1.364583,3948800
2015-08-06,1.550000,1.560000,1.540000,1.540000,1.355780,2619400
2015-08-07,1.550000,1.550000,1.530000,1.550000,1.364583,700400
2015-08-10,1.540000,1.540000,1.520000,1.540000,1.355780,1335000
2015-08-11,1.530000,1.550000,1.520000,1.530000,1.346976,3715100
2015-08-12,1.530000,1.530000,1.480000,1.500000,1.320565,5378600
2015-08-13,1.500000,1.520000,1.500000,1.510000,1.329368,4059500
2015-08-14,1.520000,1.520000,1.500000,1.510000,1.329368,5842300
2015-08-17,1.500000,1.510000,1.490000,1.500000,1.320565,2815200
2015-08-18,1.500000,1.500000,1.490000,1.500000,1.320565,6160300
2015-08-19,1.500000,1.500000,1.490000,1.500000,1.320565,3783900
2015-08-20,1.500000,1.500000,1.490000,1.500000,1.320565,5308000
2015-08-21,1.500000,1.500000,1.490000,1.500000,1.320565,2841700
2015-08-24,1.480000,1.480000,1.470000,1.480000,1.309856,5869800
2015-08-25,1.460000,1.510000,1.460000,1.480000,1.309856,13547800
2015-08-26,1.490000,1.500000,1.490000,1.500000,1.327556,4711300
2015-08-27,1.500000,1.500000,1.490000,1.500000,1.327556,1812500
2015-08-28,1.500000,1.500000,1.490000,1.490000,1.318706,645600
2015-09-01,1.500000,1.500000,1.480000,1.490000,1.318706,3068900
2015-09-02,1.490000,1.490000,1.470000,1.480000,1.309856,2483600
2015-09-03,1.490000,1.490000,1.460000,1.470000,1.301005,3611500
2015-09-04,1.470000,1.480000,1.460000,1.470000,1.301005,1759900
2015-09-07,1.480000,1.490000,1.460000,1.490000,1.318706,4184800
2015-09-08,1.480000,1.490000,1.470000,1.480000,1.309856,2859500
2015-09-09,1.490000,1.530000,1.480000,1.520000,1.345257,3527200
2015-09-10,1.530000,1.530000,1.490000,1.510000,1.336407,2466400
2015-09-11,1.520000,1.520000,1.490000,1.520000,1.345257,1438900
2015-09-14,1.540000,1.540000,1.520000,1.530000,1.354107,3214200
2015-09-15,1.530000,1.540000,1.520000,1.530000,1.354107,5801200
2015-09-17,1.530000,1.530000,1.520000,1.530000,1.354107,6387700
2015-09-18,1.520000,1.550000,1.480000,1.490000,1.318706,20727200
2015-09-21,1.500000,1.510000,1.490000,1.500000,1.327556,6958100
2015-09-22,1.510000,1.520000,1.500000,1.510000,1.336407,1170700
2015-09-23,1.510000,1.530000,1.500000,1.520000,1.345257,1851800
